4,"MATCBZF20240130_3 ",NULL,NULL,2024-01-30 14:34:11.940
7,"MATCBZF20240130_4 ",NULL,NULL,2024-01-30 16:28:37.560
8,"MATCBZF20240130_5 ",NULL,NULL,2024-01-30 16:30:28.843
11,"MATCBZF20240130_6 ",NULL,NULL,2024-01-30 17:34:11.620
12,"MATCBZF20240130_6 ",NULL,NULL,2024-01-30 17:35:05.943
13,"MATCBZF20240130_6 ",NULL,NULL,2024-01-30 17:36:57.693
17,"MATCBZF20240130_7 ",NULL,NULL,2024-01-30 17:42:34.583
21,"MATCBZF20240130_8 ",NULL,NULL,2024-01-30 17:51:57.823
22,"MATCBZF20240130_9 ",NULL,NULL,2024-01-30 17:56:21.467
23,MATCBZF20240130_10,NULL,NULL,2024-01-30 18:01:21.037
27,MATCBZF20240130_11,NULL,NULL,2024-01-30 18:12:42.647
28,MATCBZF20240130_12,NULL,NULL,2024-01-30 18:16:12.097
29,MATCBZF20240130_13,NULL,NULL,2024-01-30 18:50:20.983
30,MATCBZF20240130_14,NULL,NULL,2024-01-30 19:00:34.270
31,MATCBZF20240130_15,NULL,NULL,2024-01-30 22:28:14.777
