1,MATCBZF20240130_17,NULL,NULL,2024-01-30 23:03:28.143
2,"MATCBZF20240201_1 ",NULL,NULL,2024-02-01 18:02:59.010
3,"MATCBZF20240201_2 ",4,67956,2024-02-01 18:05:01.550
4,"MATCBZF20240201_3 ",NULL,NULL,2024-02-01 18:51:53.907
5,"MATCBZF20240201_4 ",2,33978,2024-02-01 18:59:35.073
6,"MATCBZF20240202_1 ",3,63145,2024-02-02 10:45:16.997
7,"MATCBZF20240202_2 ",3,63145,2024-02-02 10:58:13.190
8,"MATCBZF20240202_1 ",2,33978,2024-02-02 12:25:13.340
9,"MATCBZF20240206_1 ",4,61027,2024-02-06 12:15:19.510
10,"MATCBZF20240206_2 ",2,16101,2024-02-06 16:37:14.803
11,"MATCBZF20240206_3 ",2,44926,2024-02-06 16:41:31.083
